id,predicate,predicate_length,time to verify signature, result

15,MONASH,1,0.014015913009643555,True
43,MONASH,1,0.014320135116577148,True
16,MONASH AND MELBOURNE,2,0.024806976318359375,True
44,MONASH AND MELBOURNE,2,0.024933338165283203,True
45,RIDWAN AND RAHMAN AND RIDWAN@GMAIL.COM AND PROGRAMMER AND MONASH,5,0.05611586570739746,True
17,RIDWAN AND RAHMAN AND RIDWAN@GMAIL.COM AND PROGRAMMER AND MONASH,5,0.057416677474975586,True
46,RIDWAN AND RAHMAN AND RIDWAN@GMAIL.COM AND PROGRAMMER AND MONASH AND STUDENT AND 28 AND CAULFIELD AND MELBOURNE AND VICTORIA,10,0.11475157737731934,True
18,RIDWAN AND RAHMAN AND RIDWAN@GMAIL.COM AND PROGRAMMER AND MONASH AND STUDENT AND 28 AND CAULFIELD AND MELBOURNE AND VICTORIA,10,0.11543965339660645,True
55,RIDWAN AND RAHMAN AND RIDWAN@GMAIL.COM AND PROGRAMMER AND MONASH AND STUDENT AND 28 AND CAULFIELD AND MELBOURNE AND VICTORIA AND DHAKA AND BANGLADESH AND NORTHSOUTHUNIVERSITY AND COMPUTERSCIENCE AND INFORMATIONTECHNOLOGY AND DELL AND MACBOOK AND IPHONE AND PS4 AND MAZDA,20,0.252241849899292,True
19,RIDWAN AND RAHMAN AND RIDWAN@GMAIL.COM AND PROGRAMMER AND MONASH AND STUDENT AND 28 AND CAULFIELD AND MELBOURNE AND VICTORIA AND DHAKA AND BANGLADESH AND NORTHSOUTHUNIVERSITY AND COMPUTERSCIENCE AND INFORMATIONTECHNOLOGY AND DELL AND MACBOOK AND IPHONE AND PS4 AND MAZDA,20,0.2716331481933594,True
20,RIDWAN AND RAHMAN AND RIDWAN@GMAIL.COM AND PROGRAMMER AND MONASH AND STUDENT AND 28 AND CAULFIELD AND MELBOURNE AND VICTORIA AND DHAKA AND BANGLADESH AND NORTHSOUTHUNIVERSITY AND COMPUTERSCIENCE AND INFORMATIONTECHNOLOGY AND DELL AND MACBOOK AND IPHONE AND PS4 AND MAZDA,20,0.0028841495513916016,False
21,RIDWAN AND RAHMAN AND RIDWAN@GMAIL.COM AND PROGRAMMER AND MONASH AND STUDENT AND 28 AND CAULFIELD AND MELBOURNE AND VICTORIA AND DHAKA AND BANGLADESH AND NORTHSOUTHUNIVERSITY AND COMPUTERSCIENCE AND INFORMATIONTECHNOLOGY AND DELL AND MACBOOK AND IPHONE AND PS4 AND MAZDA,20,0.24912309646606445,True
